id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Население и инфраструктура,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"Базовая инфраструктура, необходимая для жизни, от хлипких орбитальных жилых модулей до мегаполисов и всего, что между ними.",100,
farming,Сельское хозяйство,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Сельское хозяйство - это ремесло и технология, столь же древнее, как и сама наша цивилизация; на протяжении тысяч циклов человечество использовало силу естественных, модифицированных и искусственных биологических машин для поддержания своей жизни. Так было всегда, так будет до тех пор, пока люди остаются людьми.",200,LOW
aquaculture,Аквакультура,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"Сельское хозяйство в водном мире требует значительных первоначальных инвестиций в биоинженерию подходящих видов, но как только процесс начнется, население сможет управлять фермами по выращиванию водорослей и рыболовства, не требуя особого специального обучения или оборудования.",210,MEDIUM
mining,Добыча ископаемых,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Металлические и металлоидные руды, органические вещества и летучие соединения - все это требует тяжелого оборудования, специальной инфраструктуры и квалифицированной рабочей силы для добычи. Тяжелая работа привлекает определенный тип людей, и администрация, которая не желает время от времени смотреть в другую сторону, может столкнуться с нехваткой персонала.",300,MEDIUM
techmining,Добыча технологий,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"Добыча древних технологий - это искусство восстановления ценных артефактов из руин времён Домена. Требуются специальные инструменты для борьбы с уникальными опасностями и опытный глаз, чтобы знать, где можно найти неплохие артефакты. Самые старые технари - это странный народ, верящий в талисманы удачи и отказывающийся работать без своих ритуалов.",400,MEDIUM
refining,Литейные Заводы,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Плавильные заводы здесь перерабатывают руды и трансплутонические руды в металлы и трансплутоники соответственно. Робототехника с дистанционным управлением обычно используется для выполнения самых опасных задач.",500,MEDIUM
spaceport,Космопорт,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Комплексы и сооружения для погрузки и разгрузки грузов и выполнения технического обслуживания звездолетов. Колония без космопорта, по сути, на карте звёзд всё равно что не существует.",150,HIGH
megaport,Мегапорт,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Огромный космопорт, где звезды могут касаться земли. Чётко организованные посадочные площадки и бронированные цистерны с горючим связаны подъездными дорогами и короткомагистральными грузовыми трамваями, обеспечивающими работу обширных складов и логистических терминалов; всё это в значительной степени повышает доступность колонии.",151,EXTREME
lightindustry,Легкая промышленность,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"Производит товары домашнего обихода и предметы роскоши. Одна из немногих отраслей, относительно не затронутых коллапсом из-за своей низкотехнологичной природы.",1400,MEDIUM
heavyindustry,Тяжелая промышленность,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Централизованная производственная инфраструктура для изготовления тяжелого промышленного оборудования, припасов и оружия. Также производит едва пригодные для работе в космосе корабли; для улучшения качества выпускаемых кораблей может быть установлена нанокузня.",1600,HIGH
orbitalworks,Орбитальные заводы,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Централизованная производственная инфраструктура для изготовления тяжелого промышленного оборудования, припасов и оружия. Также производит едва пригодные для работе в космосе корабли; для улучшения качества выпускаемых кораблей может быть установлена нанокузня.

Добавление орбитальных заводов здорово помогает в выпуске кораблей и позоляет добиться лучшего качества изготовления.",1700,HIGH
fuelprod,Производство топлива,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Это предприятие производит топливо для звездолетов, жизненную кровь межзвездной цивилизации. В условиях отсутствия компонентов и технологий времён Домена, производство топлива является трудоемким и медленным процессом.",1800,HIGH
#advfuelprod,Усовершенствованное производство топлива,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Огромный высокотехнологичный завод производит топливо для звездолетов, жизненную кровь межзвездной цивилизации.",1900,
commerce,Коммерция,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"Законодательные органы, гранты и инфраструктура для создания условий развития независимой торговли. Значительно снижает степень прямого контроля администрации над колонией.",1950,MEDIUM
station_base,Орбитальная станция,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Космическая станция, которая является опорной точкой для флотов вблизи $market и должна быть уничтожена перед вторжением или бомбардировкой.

Доступно несколько вариантов, причем различия, как правило, заключаются в тактических подходах, а не в общей силе.",2000,
orbitalstation,Орбитальная станция - Низкотехнологичная,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Низкотехнологичная космическая станция, отличающаяся тяжелой броней и средней огневой мощью.

Должна быть уничтожена перед вторжением или бомбардировкой.",2010,
battlestation,Боевая станция - Низкотехнологичная,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Космическая станция, дополненная тяжелым бастионом и зенитными цитаделями.

Должна быть уничтожена перед вторжением или бомбардировкой.",2020,
starfortress,Звездная крепость - Низкотехнологичная,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Бронированная боевая станция с оборонительными дронами класса Merlon и обширным минным полем.

Должна быть уничтожена перед вторжением или бомбардировкой.",2030,
orbitalstation_mid,Орбитальная станция - Средняя линия,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Среднетехнологичная станция, обладающая большой огневой мощью с одной стороны и быстрым осевым вращением.

Должна быть уничтожена перед вторжением или бомбардировкой.",2040,
battlestation_mid,Боевая станция - Средняя линия,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Космическая станция, дополненная модулями ракетной поддержки.

Должна быть уничтожена перед вторжением или бомбардировкой.",2050,
starfortress_mid,Звездная крепость - Средняя линия,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Бронированная боевая станция с оборонительными дронами класса Ravelin и обширным минным полем.

Должна быть уничтожена перед вторжением или бомбардировкой.",2060,
orbitalstation_high,Орбитальная станция - Высокотехнологичная,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Высокотехнологичная космическая станция с тяжелыми вращающимися щитами, самолётами поддержки и средней огневой мощью.

Должна быть уничтожена перед вторжением или бомбардировкой.",2070,
battlestation_high,Боевая станция - Высокотехнологичная,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Космическая станция, дополненная оборонительной цитаделью с большой огневой мощью.

Должна быть уничтожена перед вторжением или бомбардировкой.",2080,
